lights,m0,f0,m1,f1,m2,f2,m3,f3,m4,f4,m5,f5,m6,f6,m7,f7,m8,f8,m9,f9
3,Gio,Kaylen,Cam,Victoria,Asaf,Francesca,John,Emma,Prosper,Camille,Sam,Alyssa,Cameron,Mikala,Morgan,Julia,Stephen,Nicole,Tyler,Tori
3,Cam,Julia,Tyler,Victoria,Stephen,Tori,Cameron,Mikala,Morgan,Alyssa,Sam,Francesca,Prosper,Emma,Asaf,Camille,Gio,Kaylen,John,Nicole
4,Morgan,Francesca,Asaf,Camille,Cam,Nicole,Stephen,Tori,John,Victoria,Prosper,Emma,Gio,Kaylen,Sam,Alyssa,Tyler,Julia,Cameron,Mikala
4,Morgan,Tori,Prosper,Nicole,Asaf,Camille,John,Victoria,Gio,Kaylen,Stephen,Julia,Tyler,Francesca,Sam,Alyssa,Cam,Emma,Cameron,Mikala
4,Cam,Emma,Prosper,Victoria,Tyler,Kaylen,Stephen,Nicole,Asaf,Camille,Sam,Alyssa,Morgan,Julia,John,Tori,Gio,Francesca,Cameron,Mikala
4,John,Emma,Cam,Victoria,Morgan,Tori,Stephen,Julia,Gio,Francesca,Prosper,Kaylen,Tyler,Nicole,Asaf,Camille,Sam,Alyssa,Cameron,Mikala
4,Prosper,Victoria,Cam,Nicole,Morgan,Tori,Gio,Emma,Asaf,Francesca,Tyler,Camille,John,Kaylen,Stephen,Julia,Sam,Alyssa,Cameron,Mikala
2,Gio,Nicole,Prosper,Francesca,Stephen,Julia,Tyler,Emma,Cam,Tori,Morgan,Victoria,Asaf,Camille,John,Kaylen,Sam,Alyssa,Cameron,Mikala
