maleName,femaleName,isMatch
ChrisT,Shanley,False
Ethan,Jess,False
Dillan,Jess,False
JJ,Simone,False
Dre,Ashleigh,False
Dillan,Coleysia,True
ChrisT,Paige,True
Ryan,Kayla,False
